,reaction,correct_reaction,test_reaction,transformation_score,whole_mol_score
415,7.0,12.0,34.0,0.18604651162790697,0.15488838390784024
416,7.0,12.0,86.0,0.18604651162790697,0.15488838390784024
417,7.0,12.0,67.0,0.05084745762711865,0.10436903943541848
418,7.0,12.0,87.0,0.2660307366189719,0.09633774706070802
419,7.0,12.0,50.0,0.25383043922369763,0.1408433243824122
420,7.0,12.0,37.0,0.11764705882352941,0.0932827539722334
421,7.0,12.0,11.0,0.17777777777777778,0.12798729106230142
422,7.0,12.0,68.0,0.11764705882352941,0.14539039338155374
423,7.0,12.0,65.0,0.20930232558139536,0.14023691249522352
424,7.0,12.0,47.0,0.5185185185185185,0.59375
425,7.0,12.0,97.0,0.2685185185185185,0.18120025101333476
426,7.0,12.0,3.0,0.20930232558139536,0.1296675359019974
427,7.0,12.0,64.0,0.24726775956284153,0.14303512291427845
428,7.0,12.0,40.0,0.10909090909090909,0.09375
429,7.0,12.0,82.0,0.16326530612244897,0.057291666666666664
430,7.0,12.0,83.0,0.15384615384615385,0.09490345507294659
431,7.0,12.0,73.0,0.14004939287919327,0.08150502965251924
432,7.0,12.0,52.0,0.2465753424657534,0.0755813953488372
433,7.0,12.0,36.0,0.4067796610169492,0.09957947302713713
434,7.0,12.0,4.0,0.2,0.09751157407407407
435,7.0,12.0,43.0,0.3611111111111111,0.09883720930232559
436,7.0,12.0,96.0,0.14814814814814814,0.08748114630467571
437,7.0,12.0,51.0,0.23333333333333334,0.14622088486201446
438,7.0,12.0,10.0,0.0847457627118644,0.032727541371158395
439,7.0,12.0,32.0,0.10126582278481013,0.12628263740729453
440,7.0,12.0,12.0,1.0,0.9094794094794094
441,7.0,12.0,35.0,0.0,0.0
442,7.0,12.0,54.0,0.38235294117647056,0.345679012345679
443,7.0,12.0,8.0,0.1551562132957482,0.1083803673468931
444,7.0,12.0,19.0,0.20930232558139536,0.18900547187905453
445,7.0,12.0,18.0,0.10465116279069768,0.1333932286741063
446,7.0,12.0,69.0,0.18073811931243683,0.1470415331706887
447,7.0,12.0,94.0,0.155671570953963,0.12275003519498018
448,8.0,13.0,59.0,0.26,0.2489384288747346
449,8.0,13.0,23.0,0.0,0.09836609704912416
450,8.0,13.0,58.0,0.2716049382716049,0.2754946727549467
451,8.0,13.0,13.0,0.5352112676056338,0.42801961075620265
452,8.0,13.0,80.0,0.12307692307692308,0.2192684766214178
453,8.0,13.0,98.0,0.34146341463414637,0.21261495401839264
